Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_50 Replicate 1	Raw Counts Cond_50 Replicate 2	Raw Counts Cond_50 Replicate 3	Normalized Counts Cond_50 Replicate 1	Normalized Counts Cond_50 Replicate 2	Normalized Counts Cond_50 Replicate 3	RPKM Cond_50	Expression Cond_50	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	pValue Cond_50 vs Cond_0.1	qValue Cond_50 vs Cond_0.1
	397442	398227		+		Rv0332	-	0	0	0	8436	1122	8517	0	7	0	2	0	0	58813	7553	0	28	0.020563131528111088	0.20293683597742734
	398254	398628		+		Rv0333	-	0	0	0	0	0	0	0	0	0	2	0	0	61779	0	0	54	1.0	1.0
	398658	399524		+	rmlA	Rv0334	-	1	0	0	17431	5499	0	0	8	0	0	1	7977	4942	10000	0	8	0.46047285338669014	1.0
	400050	399535		-	PE6	Rv0335c	-	11	8	11	124813	83670	105783	8	203	7	5	4	91953	154200	39574	4	184	0.3749253248274151	0.8339660204580792
400192	400192	401703		+		Rv0336	-	68	67	72	764516	667732	684016	20	466	86	20	55	1021526	533607	513031	14	455	0.1177947554191189	0.5178782704382023
	403162	401873		-	aspC	Rv0337c	-	2	8	1	29776	83501	10410	1	31	4	2	7	55295	75947	71755	1	52	0.07905146060978151	0.44160265745211835
	405841	403193		-		Rv0338c	-	7	4	3	78411	49046	30178	0	19	3	2	11	46767	73311	110319	0	28	0.08650045495757726	0.45550638791104237
	408448	405950		-		Rv0339c	-	4	6	1	54032	60998	15615	0	17	9	5	4	109628	145799	38085	1	39	0.009820949656603215	0.12046096250227886
	408634	409173		+		Rv0340	-	0	0	0	2481	8361	3627	0	8	0	0	0	8321	0	0	0	5	0.5860371019650104	1.0
	409362	410801		+	iniB	Rv0341	-	1	3	4	16129	38608	43322	1	22	6	3	7	76066	84678	71010	1	53	0.014192018437052688	0.15542432436292652
	410838	412760		+	iniA	Rv0342	-	12	19	21	140570	190460	204521	4	92	11	3	21	133631	97528	197180	2	74	0.47073625926377183	0.9321359598797843
	412757	414238		+	iniC	Rv0343	-	12	12	8	144044	122727	83017	3	78	11	6	17	135419	172981	165425	3	106	0.04480723085268107	0.3265830934644479
	414941	414381		-	lpqJ	Rv0344c	-	4	13	6	44416	131649	57045	6	138	4	2	10	58459	70181	93829	4	132	0.29963348486634345	0.7566409066358871
	415050	415460		+		Rv0345	-	12	14	15	141129	138776	149421	15	348	7	1	17	88720	49752	161595	9	243	0.8511518440310313	1.0
	416965	415502		-	ansP2	Rv0346c	-	11	13	13	132630	135521	126393	3	89	10	0	13	120495	25205	127712	2	62	0.8845899975164897	1.0
	417304	418290		+		Rv0347	-	8	12	15	92307	123063	142060	5	120	13	3	11	162998	97034	107553	4	124	0.17751461199658186	0.6185634978095178
418293	418293	418946	418946	+		Rv0348	-	22	41	48	247084	405218	456887	24	565	15	5	21	179023	143986	198297	8	265	0.27716193279265483	0.7295255533285514
	418949	419608		+		Rv0349	-	4	2	2	51985	28058	19400	2	50	0	0	2	8665	24052	27393	0	30	0.8329006351592387	1.0
420081			419806	-	-	predicted RNA	antisense: dnaK	85	173	272	945161	1712177	2577655	280	6322	194	66	182	2305983	1750576	1696170	220	6947	0.08113295933550248	0.44483243221878943
	419835	421712		+	dnaK	Rv0350	-	4	5	2	48325	57407	20241	0	22	6	1	11	75447	41021	108085	1	39	0.05155375359400343	0.3516760733065652
421794			420281	-	-	predicted RNA	antisense: grpE dnaK	767	1737	2319	8520719	17164085	21953154	464	10488	1961	564	1045	23206258	14787149	9732553	322	10507	0.5014059081337751	0.9623626450999362
	421709	422416		+	grpE	Rv0351	-	0	1	0	0	13636	0	0	6	3	0	2	39339	8566	18882	1	31	0.002189034637281642	0.036256707833620554
422599			421921	-	-	predicted RNA	antisense: grpE dnaJ1	275	525	649	3062655	5194837	6148685	311	7072	730	209	335	8637276	5476441	3125212	256	8462	0.3671815867835644	0.8308470827485035
	422452	423639		+	dnaJ1	Rv0352	-	2	1	0	30210	19640	0	0	13	1	1	0	17606	37067	1489	0	15	0.7833840853961666	1.0
423285			423081	-	-	predicted RNA	antisense: dnaJ1	83	123	137	930210	1216161	1305257	244	5612	131	33	58	1557634	865238	547872	149	4830	0.20597236302179048	0.6477943988663345
	423639	424019		+	hspR	Rv0353	-	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	0	0	3.3800743436507534E-34	1.0
424776	424694	424269	424143	-	PPE7	Rv0354c	-	42	55	67	477295	548484	641114	56	1304	56	11	54	672283	300164	507819	39	1158	0.17758164032617718	0.6185634978095178
	434679	424777		-	PPE8	Rv0355c	-	43	54	48	486352	542873	457518	2	50	29	7	42	354264	196540	399574	1	31	0.8639525342205309	1.0
	435474	434830		-		Rv0356c	-	7	11	10	79280	117171	100157	6	153	9	1	10	117606	50906	96223	4	136	0.403655212697359	0.8653700229176801
	436769	435471		-	purA	Rv0357c	-	8	6	9	97022	67003	85751	2	64	4	1	9	56464	52059	87446	1	50	0.5698526002453962	1.0
	436860	437507		+		Rv0358	-	0	0	1	3101	0	15247	0	9	0	1	1	0	31630	11382	0	22	0.18665666748873733	1.0
	437518	438297		+		Rv0359	-	11	10	7	127915	100785	68138	5	126	4	3	5	50137	81054	49946	2	77	0.980081926332536	1.0
	438739	438302		-		Rv0360c	-	0	1	0	7940	15207	9043	1	24	2	0	4	32187	0	38563	2	53	0.1391675667869834	0.5588834089958089
	438822	439649		+		Rv0361	-	0	1	3	10669	16217	36172	1	25	0	1	5	9009	37397	54840	1	40	0.1867228844204818	0.6248707325431123
	439871	441253		+	mgtE	Rv0362	-	22	24	24	244478	240628	228811	7	172	17	9	27	207565	258319	252500	5	173	0.11286082322362828	0.5121540844207614
	442299	441265		-	fba	Rv0363c	-	2	1	2	32258	17620	25552	1	24	4	0	6	57634	0	63670	1	39	0.15749979208455836	0.5933505573168253
	442395	443078		+		Rv0364	-	4	7	7	46277	75308	75499	4	96	4	3	10	58253	89785	94308	3	118	0.12345113717178613	0.5271700651204843
	444197	443067		-		Rv0365c	-	5	13	5	61662	131481	53207	3	72	11	2	10	130192	72652	100585	2	89	0.10475890180179367	0.4974888998175888
	444815	444222		-		Rv0366c	-	0	0	0	0	0	0	0	0	0	0	0	0	11367	2925	0	8	0.0	1.0
	445233	444844		-		Rv0367c	-	0	0	0	0	0	0	0	0	0	2	1	0	66721	15585	1	70	1.0	1.0
	446525	445314		-		Rv0368c	-	2	0	0	23387	0	6098	0	8	2	1	0	25928	37232	0	0	17	0.16759677055180708	1.0
	447046	446531		-		Rv0369c	-	0	0	0	0	0	0	0	0	0	1	1	0	27841	14840	0	27	0.0	0.0
	448043	447147		-		Rv0370c	-	5	2	4	63089	19753	44216	2	47	1	0	0	12861	0	0	0	4	5.553215824565706E-10	2.8380899446262593E-8
	448633	448040		-		Rv0371c	-	1	0	2	18610	0	20241	0	21	0	0	0	2544	0	0	0	1	3.7682797012336935E-34	1.0
	449385	448630		-		Rv0372c	-	0	0	0	3101	0	1945	0	2	0	0	0	0	0	0	0	0	0.0	1.0
	451803	449404		-		Rv0373c	-	0	0	1	0	0	15352	0	2	3	3	2	40440	101317	25851	0	23	4.5512631274972156E-17	1.0
	452279	451800		-		Rv0374c	-	0	0	0	0	8249	0	0	5	0	1	1	0	36079	10319	0	32	0.0013479894821598365	0.024012111397975846
	453154	452294		-		Rv0375c	-	0	0	0	9057	0	4731	0	5	4	3	3	54814	88962	31117	1	67	2.226395057760909E-22	1.7699840709199227E-20
	454372	453230		-		Rv0376c	-	0	1	1	7258	10437	12828	0	8	4	0	1	55295	25535	16808	0	28	0.02164444946106164	0.20929386505314918
	454421	455386		+		Rv0377	-	3	4	0	36538	47418	4626	1	30	2	1	3	24415	45469	34414	1	35	0.28615888598806266	0.7356985700569716
	455637	455858		+		Rv0378	-	0	0	1	1488	4545	12986	1	28	0	0	0	0	0	0	0	0	1.0	1.0
	455977	456192		+	secE2	Rv0379	-	0	0	0	0	8417	8517	1	26	0	0	0	9215	0	0	0	14	0.5947729995901121	1.0
	456819	456268		-		Rv0380c	-	7	13	11	78722	137149	105730	8	194	20	2	17	240096	62438	163404	10	281	0.030489863320424474	0.2612189400841488
	457823	456915		-		Rv0381c	-	28	22	19	311538	219528	184121	11	262	21	6	23	254332	170675	215478	7	234	0.24553751169826735	0.6972121288412604
	458380	457841		-	pyrE	Rv0382c	-	1	0	0	11104	3423	7676	0	13	0	0	0	0	0	6276	0	3	0.08619505411751986	1.0
	459315	458461		-		Rv0383c	-	9	16	13	105831	159876	130651	6	154	6	3	12	73933	81383	112712	3	104	0.932901527304589	1.0
	462002	459456		-	clpB	Rv0384c	-	18	20	15	203722	203928	145688	3	72	24	7	26	290852	204777	248723	3	97	0.021678745830404442	0.20929386505314918
	462135	463307		+		Rv0385	-	2	7	3	33064	73232	32807	1	39	7	3	6	87757	96869	63297	2	70	0.04192791283521163	0.3157833856167781
	463411	466668		+		Rv0386	-	7	5	4	86662	53535	41955	0	18	4	5	5	49381	152553	46755	0	25	0.09232284298767153	1.0
	468335	469594		+	purT	Rv0389	-	0	0	1	0	6509	12250	0	4	1	1	1	22283	34596	14734	0	18	0.013838665344398296	1.0
	469591	470013		+		Rv0390	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	470010	471230		+	metZ	Rv0391	-	4	9	9	48449	95622	91272	2	64	6	1	5	78885	46787	47819	1	47	0.6420041586739063	1.0
	472639	471227		-	ndhA	Rv0392c	-	1	6	3	12655	60549	30073	1	24	5	0	7	66024	0	66648	1	31	0.2143061076823633	0.6600606544097888
	472781	474106		+		Rv0393	-	21	38	20	243052	381032	192534	8	205	38	6	25	453301	175453	235425	7	217	0.09032877341105167	0.4644088913217303
	474841	474122		-		Rv0394c	-	3	2	1	35980	23400	14195	1	34	1	1	2	19669	34925	26755	1	37	0.35425055541884976	0.8158785592345076
	474940	475344		+		Rv0395	-	0	1	0	0	12906	1104	0	11	0	0	0	4126	16968	1382	0	18	0.5423392026951964	1.0
	475350	475742		+		Rv0396	-	1	5	4	13585	57912	40483	4	94	3	0	7	42778	0	67021	3	93	0.33001555029691915	0.7875246011254441
	475816	476184		+		Rv0397	-	0	1	0	6823	14983	5941	1	25	1	0	0	19532	0	7659	0	24	0.4518380839109403	0.9116022703926628
	476394	476642		+		Rv0397A	-	3	0	1	35980	6734	13985	3	75	3	1	6	45254	46622	58617	6	201	0.02148357942536857	0.20866291057264086
	477320	476679		-		Rv0398c	-	20	18	21	228101	179180	205152	13	317	24	7	12	289752	192751	118989	9	312	0.1518327563047686	0.5804832529088735
	478556	477327		-	lpqK	Rv0399c	-	4	8	3	44602	80920	35226	1	43	12	0	9	142640	2965	88670	2	63	0.08525017443848501	0.45533009804613095
	479753	478566		-	fadE7	Rv0400c	-	0	1	2	8126	17115	22082	0	13	1	2	2	13892	57166	25000	0	26	0.1170619234349896	1.0
	479789	480160		+		Rv0401	-	0	0	0	0	0	2523	0	2	0	0	1	0	0	11170	0	10	0.009029812408812198	1.0
	483231	480355		-	mmpL1	Rv0402c	-	34	40	40	377543	395791	386593	5	134	16	6	46	191334	172981	435478	3	92	0.840212303712317	1.0
	483656	483228		-	mmpS1	Rv0403c	-	5	3	4	58560	37485	44164	4	108	4	0	8	48830	0	81382	4	101	0.3109268922429615	0.7676498524133837
	483977	485734		+	fadD30	Rv0404	-	24	42	25	274565	423288	239537	7	177	33	4	38	400618	105930	361010	6	164	0.22455526475223025	0.6713201612683318
	485731	489939		+	pks6	Rv0405	-	4	2	6	50496	24466	60515	0	10	4	2	4	54264	75123	41968	0	13	0.17235439961547094	1.0
	490705	489887		-		Rv0406c	-	5	14	11	60545	147474	113354	5	130	3	1	19	37138	29489	182446	4	101	0.6393137609715724	1.0
	490783	491793		+	fgd1	Rv0407	-	0	3	1	0	35353	17718	0	17	0	0	1	0	0	12446	0	4	0.025368739557797892	1.0
	491786	493858		+	pta	Rv0408	-	0	1	2	9987	12457	28286	0	8	1	0	3	17606	0	34521	0	8	0.9460061441348833	1.0
	493851	495008		+	ackA	Rv0409	-	3	4	10	43300	43827	100368	2	53	6	3	6	73521	103953	60851	1	68	0.11438341492353966	0.5140859038665166
	497314	495062		-	pknG	Rv0410c	-	18	23	26	204280	229854	249737	4	101	17	0	24	212242	20263	229840	2	68	0.7932326520331217	1.0
	498300	497314		-	glnH	Rv0411c	-	3	3	6	39330	31537	60252	1	44	0	2	3	10729	52883	36489	0	33	0.6099424064809692	1.0
	499619	498300		-		Rv0412c	-	15	16	18	176240	166778	172660	5	130	12	5	13	145529	151235	125212	3	106	0.4333635664792665	0.8960807099550216
	499713	500366		+	mutT3	Rv0413	-	1	1	0	13523	17901	5993	0	19	0	2	1	0	59143	10053	0	35	0.20254102637012272	0.640759281691351
	501018	500350		-	thiE	Rv0414c	-	4	4	1	51985	39618	17613	2	54	6	4	5	79779	120428	49734	3	124	0.013771249988715623	0.1519002710840343
	501148	502170		+	thiO	Rv0415	-	0	0	0	0	448	0	0	0	0	1	1	0	28336	9521	0	12	0.0	1.0
	502167	502373		+	thiS	Rv0416	-	0	1	0	0	11616	0	0	18	0	0	0	0	0	0	0	0	0.0	1.0
	502366	503124		+	thiG	Rv0417	-	2	2	2	26550	21773	21661	1	30	1	0	1	12379	0	18510	0	13	0.23236224337668432	0.6799688104161049
	503496	504998		+	lpqL	Rv0418	-	3	0	4	41439	0	44532	0	19	1	2	2	19050	64909	21382	0	23	0.2716998163966364	1.0
	505086	506582		+	lpqM	Rv0419	-	22	18	17	253225	181481	168243	5	134	20	2	20	244566	71663	190744	4	112	0.36058948109609357	0.8225504142214727
506971	506971	506561	506425	-		Rv0420c	-	33	30	42	366997	304601	399369	37	868	28	6	42	341815	173311	395744	26	738	0.3340290658670937	0.7922296410522094
	507761	507132		-		Rv0421c	-	3	3	5	41563	32996	52471	2	67	4	1	4	57083	44316	39840	2	74	0.24769920961944578	0.6975722965965601
	508555	507758		-	thiD	Rv0422c	-	0	0	0	8188	0	6256	0	6	1	0	0	17400	0	8670	0	10	0.7681466742406207	1.0
	510225	508582		-	thiC	Rv0423c	-	3	0	0	36786	0	0	0	7	1	0	4	23452	0	40106	0	12	0.2435536931059919	1.0
	510652	510377		-		Rv0424c	-	3	2	2	35856	21773	24658	4	99	1	0	3	15061	0	36861	2	62	0.9627230099130077	1.0
	515321	510702		-	ctpH	Rv0425c	-	11	9	9	124751	95622	89064	0	22	13	8	20	155570	210543	187925	1	39	0.006812334734917971	0.089985701590778
	515816	515373		-		Rv0426c	-	0	0	1	0	0	11303	0	8	1	2	0	17469	74135	5212	1	72	5.274819610685359E-9	2.488439625128818E-7
	516892	516017		-	xthA	Rv0427c	-	2	1	0	27109	16049	7150	0	19	1	4	3	15130	116474	30265	1	61	0.005223141573059719	0.07375969333271504
	517803	516895		-		Rv0428c	-	2	1	0	32009	14478	7150	0	19	0	0	2	10385	2800	20691	0	12	0.6129365322572237	1.0
	518396	517803		-	def	Rv0429c	-	2	0	1	25496	0	12145	0	21	1	0	4	17056	0	46436	1	35	0.2527369051444205	0.7015462341043075
	518733	519041		+		Rv0430	-	0	0	0	10918	0	0	0	11	0	0	0	0	0	0	0	0	0.0	1.0
	519073	519567		+		Rv0431	-	2	0	0	24503	8698	0	0	22	2	0	0	33218	15156	5106	1	36	0.542986519009451	1.0
	519600	520322		+	sodC	Rv0432	-	3	2	1	42431	21043	13722	1	35	4	0	0	51994	10049	0	0	28	0.4901763042146948	0.9512946441014355
	520324	521454		+		Rv0433	-	2	1	2	26488	14590	27917	0	20	0	1	1	10660	48929	16808	0	22	0.36631445852859484	1.0
	521514	522167		+		Rv0434	-	7	10	9	79838	107968	92586	6	142	5	4	16	70563	108401	150531	5	167	0.11156273341158429	0.5112339907873839
	524533	522347		-		Rv0435c	-	11	14	11	129838	141863	108937	2	58	9	5	15	106740	146952	145744	1	60	0.15254103923906184	0.58209660573626
	525390	524530		-	pssA	Rv0436c	-	0	2	3	10980	26318	31072	1	26	2	3	3	30536	100658	28297	1	61	0.03553791012719012	0.28938953504042497
	526082	525387		-	psd	Rv0437c	-	1	0	0	13709	9090	0	0	10	0	1	1	8734	32289	10531	0	24	0.17905749625178707	1.0
	527360	526143		-	moeA2	Rv0438c	-	11	5	5	125496	51290	48264	2	61	11	2	12	138927	71499	117500	3	89	0.050835793006823365	0.349740479772905
	528314	527379		-		Rv0439c	-	0	2	1	2233	20033	15930	0	13	0	0	0	0	0	5478	0	1	5.22765377150092E-5	1.0
530229			528451	-	-	predicted RNA	antisense: groEL2	1772	1971	3367	19684677	19472615	31868769	583	13308	3265	1238	1616	38623108	32434925	15047765	468	16133	0.892467332407764	1.0
	528608	530230		+	groEL2	Rv0440	-	9	8	11	110980	84624	108622	2	62	2	5	17	29298	136738	166702	2	68	0.14668152615825242	0.571419048817947
530750	530724	530296	530296	-		Rv0441c	-	42	34	38	467307	343939	365457	39	914	28	6	30	336038	161449	285372	20	608	0.930316374818782	1.0
	532214	530751		-	PPE10	Rv0442c	-	25	18	15	282692	186756	145373	5	139	18	5	17	215749	145799	162765	3	119	0.3320077636492809	0.7898904340163169
	532396	532911		+		Rv0443	-	9	8	6	110607	82154	62986	7	165	2	0	10	23658	0	102074	3	81	0.5583495564489559	1.0
	533789	533091		-	rskA	Rv0444c	-	7	5	8	86848	56509	82492	4	107	6	1	6	76478	34266	60691	2	81	0.5827410426415645	1.0
	534396	533833		-	sigK	Rv0445c	-	1	0	0	21464	0	8464	0	17	0	0	1	8184	0	18031	0	15	0.4359118348076512	1.0
	535215	534445		-		Rv0446c	-	3	1	2	36104	12906	20136	1	29	1	0	5	17881	0	52340	1	30	0.4147494385458981	0.877968116211805
	536507	535224		-	ufaA1	Rv0447c	-	0	0	3	6327	0	30073	0	9	2	0	2	30949	24546	25106	0	20	0.1165657754081064	1.0
	537169	536504		-		Rv0448c	-	16	14	15	178039	142199	143165	9	231	9	0	8	109147	0	78670	3	94	0.252978748495176	0.7015462341043075
	538548	537229		-		Rv0449c	-	2	7	4	29528	78956	40115	1	37	1	1	5	13136	30148	48404	0	23	0.9186302438722167	1.0
	541491	538588		-	mmpL4	Rv0450c	-	18	22	24	206141	218013	232544	3	75	17	5	16	204126	143986	149042	1	57	0.5434873579721688	1.0
	541910	541488		-	mmpS4	Rv0451c	-	0	0	0	8312	0	9200	0	13	0	0	1	0	8072	16968	0	19	0.5131233642233755	1.0
	542142	542852		+		Rv0452	-	0	0	0	0	0	0	0	0	0	0	1	0	0	13936	0	6	0.0	1.0
	543174	544730		+	PPE11	Rv0453	-	3	4	6	36104	46408	59516	1	30	1	0	7	22145	2306	65319	0	19	0.96810486501598	1.0
	545821	545375		-		Rv0455c	-	1	2	3	12903	20089	30546	2	47	2	0	0	34112	7578	5851	1	35	0.9650594787940654	1.0
	546803	545889		-	echA2	Rv0456c	-	4	12	8	51240	118799	81388	4	91	6	2	10	82393	56836	95425	2	85	0.33286186488463143	0.7903628240872361
	547357	547076		-	mazF1	Rv0456A	-	0	0	2	5955	841	24710	1	37	0	0	1	8872	0	15106	1	28	0.4186393717307584	0.881879708438426
	547517	547344		-	mazE1	Rv0456B	-	0	0	0	3598	0	0	0	6	0	0	0	0	0	0	0	0	0.0	1.0
	549607	547586		-		Rv0457c	-	11	3	6	125434	34511	61198	1	36	4	3	7	50825	98187	74148	1	36	0.2374902494644158	0.6843005237375196
	549675	551198		+		Rv0458	-	0	4	4	10732	48540	42113	0	22	1	0	1	22764	0	13776	0	7	0.10972121944568392	1.0
	551198	551689		+		Rv0459	-	10	12	12	119044	122558	121345	10	245	4	3	8	53713	84184	82074	4	149	0.8746585926379736	1.0
	551749	551988		+		Rv0460	-	14	19	9	157568	188776	87013	25	601	11	1	10	135557	34761	93723	13	366	0.8628584407667207	1.0
	552026	552550		+		Rv0461	-	12	8	13	134863	86531	129915	9	223	7	0	7	83425	22075	74148	4	114	0.6233891801305125	1.0
	552614	554008		+	lpdC	Rv0462	-	17	17	15	199751	169528	143322	5	122	8	3	16	103645	80230	156702	2	81	0.8882552065816219	1.0
554016	554016	554309	555099	+		Rv0463	-	6	15	13	70161	154152	124132	17	395	15	3	18	186588	80889	171648	17	497	0.06715103524645293	0.4126401552062745
	554885	554313		-		Rv0464c	-	14	25	30	161724	253535	289800	18	410	6	2	23	81361	65074	214893	7	210	0.597885378823472	1.0
	556306	554882		-		Rv0465c	-	4	7	5	49441	75476	53995	1	41	7	2	2	84800	76771	24468	1	43	0.2125384673673062	0.6600606544097888
	556458	557252		+		Rv0466	-	2	0	1	30397	1739	15194	0	19	0	0	0	11004	23558	8989	0	18	0.6927473660052939	1.0
	557527	558813		+	icl1	Rv0467	-	3	4	5	41191	47025	54100	1	36	2	1	6	33356	43327	58563	1	35	0.29778771233359447	0.7537751468444109
	558895	559755		+	fadB2	Rv0468	-	5	11	4	61662	116386	40168	3	84	2	1	9	34112	38714	84680	2	60	0.6669689183628953	1.0
	559888	560748		+	umaA	Rv0469	-	3	9	3	34429	91470	31598	2	60	2	1	4	25515	31136	40585	1	37	0.9189987919795757	1.0
	561711	560848		-	pcaA	Rv0470c	-	12	8	20	134863	82491	192797	6	158	10	0	13	129023	25041	130106	4	109	0.881767829600014	1.0
	562294	561854		-		Rv0470A	-	0	0	2	6079	0	19032	0	18	0	0	1	0	0	11542	0	8	0.7333556908656901	1.0
	562713	562225		-		Rv0471c	-	1	2	3	16997	21099	29652	2	46	0	0	2	10178	21252	19468	1	34	0.7382458755472664	1.0
	563427	562723		-		Rv0472c	-	1	0	0	17245	0	0	0	8	0	0	0	0	0	8085	0	3	0.6297951815895616	1.0
	563564	564934		+		Rv0473	-	0	1	0	0	18013	3312	0	5	0	0	1	0	0	16010	0	3	0.568862196424515	1.0
	565021	565443		+		Rv0474	-	0	0	1	9491	0	13722	0	18	0	0	1	0	0	10425	0	8	0.7653210120294134	1.0
	565797	566396		+	hbhA	Rv0475	-	0	0	0	7071	0	3627	0	5	0	1	0	0	34925	3297	0	21	0.05162049607021909	1.0
	566508	566771		+		Rv0476	-	0	0	0	5583	6621	0	0	15	0	0	1	0	0	10425	0	13	0.5366544993689094	1.0
	566776	567222		+		Rv0477	-	0	2	1	7816	26655	10988	1	33	0	0	2	4814	0	22712	0	20	0.6134741072294095	1.0
	567222	567896		+	deoC	Rv0478	-	5	6	9	63151	62570	86961	4	105	19	3	12	236451	86326	112606	7	215	0.005348352430483149	0.07450627706581936
	568967	567921		-		Rv0479c	-	30	48	42	334367	482435	397581	16	386	33	4	39	397317	109555	370638	10	279	0.6618135322861555	1.0
	569806	568964		-		Rv0480c	-	2	5	4	30086	51683	43480	2	49	4	3	4	54745	102306	42393	2	78	0.0880770834616313	0.4566605305565014
	570512	569988		-		Rv0481c	-	0	0	2	10980	0	20452	0	19	0	0	0	8253	0	8617	0	10	0.6141916720785215	1.0
	570539	571648		+	murB	Rv0482	-	24	35	22	276240	349887	214195	10	252	29	3	17	346079	92257	161170	6	180	0.7740408562291223	1.0
	571710	573065		+	lprQ	Rv0483	-	14	10	11	156575	107407	104363	3	90	10	3	8	118844	100000	76808	2	72	0.5937236375964133	1.0
	573801	573046		-		Rv0484c	-	10	15	13	111414	156958	127287	7	174	16	6	22	193259	168039	212925	8	253	0.024555755652747712	0.22573417348446667
	573984	575300		+		Rv0485	-	0	3	3	8188	29910	37539	0	19	6	1	5	71870	28830	49946	1	38	0.0702986722168356	0.42316170553502447
	575348	576790		+	mshA	Rv0486	-	0	1	0	2047	12794	0	0	3	4	5	3	53026	155848	34627	1	56	2.287485783804586E-41	2.584256965756076E-39
	576787	577338		+		Rv0487	-	0	1	0	5769	12906	5730	0	14	0	0	1	0	0	17872	0	10	0.5772460333795236	1.0
	577664	578269		+		Rv0488	-	1	1	0	12717	10886	0	0	12	0	3	0	0	82537	5265	0	48	0.011252111490371645	0.13165027363665557
	578426	579175		+	gpm1	Rv0489	-	0	3	1	0	30583	12670	0	19	0	0	1	4401	0	9521	0	6	0.13014430758709644	1.0
	579349	580581		+	senX3	Rv0490	-	0	0	0	5210	7351	8832	0	5	0	3	4	5777	100000	41382	0	39	1.6756604967709836E-7	6.891552794516705E-6
	580809	581492		+	regX3	Rv0491	-	5	1	1	55831	19584	11041	1	42	4	1	1	51306	35090	15425	1	49	0.2906284914852262	0.7439881418879403
	583378	581489		-		Rv0492c	-	16	15	14	185483	151739	135804	3	83	18	4	12	216643	126029	120531	2	81	0.20193271902288398	0.6397765038857867
	583704	583375		-		Rv0492A	-	1	1	0	12344	11896	8412	1	32	4	0	1	47936	0	13404	2	61	0.21934309375382902	0.6612639757620702
	584690	583701		-		Rv0493c	-	1	3	2	13895	30359	22187	0	22	0	0	2	5914	0	22765	0	9	0.23296618789388035	1.0
	584695	585423		+		Rv0494	-	2	5	2	30831	56734	28128	2	52	3	8	5	41953	234431	51648	3	149	0.0012618994407536555	0.022666670707763358
	586314	585424		-		Rv0495c	-	0	1	0	0	10830	1945	0	4	0	1	1	0	32125	13563	0	17	0.04246529647359603	1.0
	586394	587380		+		Rv0496	-	2	2	4	25744	24466	40851	1	30	1	0	2	18088	0	24414	0	14	0.23477281151272664	0.6819212989337858
	587377	588309		+		Rv0497	-	0	12	4	9429	122053	44374	2	62	7	3	3	83768	89950	29787	1	72	0.1647574843458688	0.5978923276591039
	588325	589167		+		Rv0498	-	0	2	0	0	27328	6782	0	13	1	1	4	14099	28336	38085	1	31	0.09800341604045551	0.48062376058061645
	589183	590058		+		Rv0499	-	1	2	1	13647	20482	18454	0	20	1	0	0	16093	17957	0	0	12	0.3889237579274092	1.0
	590083	590970		+	proC	Rv0500	-	5	3	4	65694	32042	46109	2	53	4	0	4	55639	0	37819	1	35	0.9750894344383347	1.0
	591111	591347		+		Rv0500A	-	0	1	0	0	13973	0	0	19	0	0	2	0	0	22500	1	31	0.5441817157331929	1.0
	591654	592784		+	galE2	Rv0501	-	10	21	14	120223	208698	133701	5	136	9	3	18	113686	96705	175478	3	113	0.4135342164252513	0.8771019223305492
	592791	593867		+		Rv0502	-	20	32	29	231637	319135	281913	11	257	22	5	32	261416	148434	302127	7	220	0.35629339878167654	0.8175133944253006
593469			592979	-	-	predicted RNA	antisense: Rv0502	202	214	220	2244789	2113804	2090956	189	4378	183	19	167	2165130	509555	1560478	104	2875	0.39769200007993055	0.8605301191245676
	594779	593871		-	cmaA2	Rv0503c	-	33	31	41	374441	306172	395688	17	394	21	1	30	249656	30807	286329	8	207	0.464337180682634	0.9227232865647764
	595302	594802		-		Rv0504c	-	0	2	0	8002	26711	6887	1	27	2	0	0	28335	0	585	0	19	0.4007507567261507	0.8632328141622503
	596585	595464		-	serB1	Rv0505c	-	1	1	0	19168	12401	0	0	9	0	2	0	5570	71499	7659	0	25	0.06042669080792415	1.0
	596759	597202		+	mmpS2	Rv0506	-	2	2	0	30397	21885	8201	1	45	0	0	1	1719	0	11702	0	10	0.016724757165968204	0.17554861250244866
	597199	600105		+	mmpL2	Rv0507	-	5	11	10	62406	117283	101156	1	32	9	0	12	108046	0	118989	1	26	0.5526684636225339	1.0
	600098	600391		+		Rv0508	-	1	1	7	15818	14646	69242	5	113	3	0	4	38445	25700	41595	4	119	0.3143777560668582	0.7698937289190086
	600441	601847		+	hemA	Rv0509	-	8	9	12	93548	92592	117613	3	71	13	4	15	155777	121746	142074	3	99	0.04264937427446892	0.3168156401993273
