Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_0.1 vs Cond_6	qValue Cond_0.1 vs Cond_6
937317	937317	936457		-	pip	Rv0840c	-	43	1	60	511554	27018	559202	16	424	25	1	473858	27018	7	290	0.5444768904505476	1.0
	937593	937835	937835	+		Rv0841	-	13	5	14	155983	148105	135957	18	603	3	5	64419	148105	8	437	0.5574094069044355	1.0
938007			938111	+	-	predicted RNA	-	112	16	176	1334594	422240	1640531	402	10785	61	16	1132987	422240	174	7405	0.5355573622267537	1.0
	938112	939404		+		Rv0842	-	103	19	162	1228266	503953	1513297	30	836	59	19	1100207	503953	14	620	0.5227931393286578	1.0
	939388	940392		+		Rv0843	-	8	2	3	96217	78253	34734	2	69	1	2	28423	78253	1	53	0.5620684452213534	1.0
	941106	940456		-	narL	Rv0844c	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	941190	942467		+		Rv0845	-	20	2	18	240027	56342	172819	4	122	3	2	61825	56342	0	46	0.7702042335199591	1.0
	944194	942680		-		Rv0846c	-	14	3	3	166574	85667	36382	1	63	2	3	40560	85667	0	41	0.5874833594335562	1.0
	944343	944735		+	lpqS	Rv0847	-	0	0	0	8390	0	6542	0	12	1	0	23651	0	0	30	0.6535039181241532	1.0
944497			944367	-	-	predicted RNA	antisense: lpqS	112	2	49	1333562	56342	459255	173	4705	9	2	168257	56342	20	857	0.0023757389607060695	0.10502745988788081
944904			944714	-	-	predicted RNA	antisense: lpqS	200	5	73	2377028	136079	684734	202	5580	20	5	375207	136079	31	1338	0.03170398911185863	1.0
	944938	946056		+	cysK2	Rv0848	-	3	0	5	38514	0	50425	1	26	0	0	9958	0	0	4	0.022758975052799803	1.0
945298			945126	-	-	predicted RNA	antisense: cysK2	138	0	39	1640233	22570	367553	142	3912	5	0	105705	22570	9	370	4.575793724744948E-9	2.624279536191562E-7
945425			945404	-	-	predicted RNA	antisense: cysK2	16	0	3	198899	7248	31542	128	3601	0	0	15871	7248	12	525	0.013940755030837932	0.568890041835348
945514			945500	-	-	predicted RNA	antisense: cysK2	11	0	2	131155	4942	23829	127	3553	0	0	16804	4942	17	724	0.2870690559431486	1.0
945637			945626	-	-	predicted RNA	antisense: cysK2	9	0	2	109078	1976	21010	132	3668	0	0	11721	1976	14	570	0.01751834336884724	0.7013948043149781
946044			945748	-	-	predicted RNA	antisense: cysK2	307	4	65	3635969	109884	607287	175	4885	16	4	306846	109884	16	701	4.0077751227158296E-5	0.001977790421023951
	946056	947315		+		Rv0849	-	3	0	4	40715	0	37659	0	20	2	0	50103	0	0	19	0.47847759293431386	1.0
948468	948468	947641		-		Rv0851c	-	102	0	21	1210866	9060	199840	20	571	9	0	179045	9060	2	113	0.009382043642333667	0.39036660017709884
	948757	949395		+		Rv0852	-	8	3	2	102475	94728	25957	3	116	0	3	17116	94728	1	87	0.5648320165159463	1.0
	951118	949436		-	pdc	Rv0853c	-	20	3	13	243397	94233	128936	3	92	4	3	76970	94233	1	50	0.5942173491823453	1.0
	951183	951626		+		Rv0854	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	951632	952711		+	far	Rv0855	-	0	0	1	0	0	16595	0	5	1	0	31016	0	0	14	0.6764251223371531	1.0
	952825	953229		+		Rv0856	-	0	0	7	0	0	65904	2	54	0	0	10684	0	0	13	0.6117577577466154	1.0
	953257	953730		+		Rv0857	-	1	0	14	21664	0	134840	4	110	2	0	42116	0	1	44	0.6642683376109451	1.0
	954920	953727		-	dapC	Rv0858c	-	15	6	15	181980	160131	147340	4	136	6	6	121265	160131	2	117	0.5303949845208998	1.0
	955077	956288		+		Rv0859	-	0	3	1	4745	84349	18138	0	29	0	3	14315	84349	0	40	0.541555343398059	1.0
	956293	958455		+	fadB	Rv0860	-	1	0	2	12654	0	23617	0	5	3	0	57468	0	0	13	0.6404729881345053	1.0
956958			956815	-	-	predicted RNA	antisense: fadB	80	54	130	957977	1423393	1213670	252	8321	59	54	1099585	1423393	181	8760	0.48619139414254586	1.0
	960151	958523		-	ercc3	Rv0861c	-	1	1	4	18638	29654	46223	0	19	2	1	44502	29654	0	22	0.5158593115823411	1.0
	962612	960342		-		Rv0862c	-	3	0	4	36176	0	41702	0	11	0	0	15663	0	0	3	0.6977366199558435	1.0
	962599	962880		+		Rv0863	-	0	0	0	0	0	4042	0	4	0	0	0	0	0	0	0.0	1.0
962973			962747	-	-	predicted RNA	antisense: Rv0863 moaC2	123	35	200	1465130	918945	1861914	218	6234	106	35	1965663	918945	146	6353	0.4914311381208431	1.0
	962890	963393		+	moaC2	Rv0864	-	0	0	2	0	0	25531	0	16	3	0	56950	0	1	56	0.6926285520875468	1.0
	963390	963872		+	mog	Rv0865	-	0	0	0	5845	0	2021	0	5	2	0	37033	0	1	38	0.009210236575030818	0.3870123170735722
	963869	964294		+	moaE2	Rv0866	-	2	0	4	32874	9225	39468	2	63	3	0	66493	9225	2	88	0.5465206056140833	1.0
	965535	964312		-	rpfA	Rv0867c	-	8	2	9	103576	72158	91755	2	72	2	2	50207	72158	1	49	0.5805116534813487	1.0
	966261	965983		-	moaD2	Rv0868c	-	1	0	3	16712	0	33723	2	60	0	0	0	0	0	0	0.0	0.0
	967347	966265		-	moaA2	Rv0869c	-	1	2	2	15268	61285	21223	0	30	0	2	16493	61285	0	35	0.5178677566880737	1.0
	967733	967344		-		Rv0870c	-	0	1	0	5226	51894	0	0	48	0	1	0	51894	1	66	0.5465579512754933	1.0
	967898	968305		+	cspB	Rv0871	-	11	2	12	135763	65733	119946	9	262	6	2	124170	65733	5	232	0.4628198333019275	1.0
	970244	968424		-	PE_PGRS15	Rv0872c	-	3	4	1	37276	115650	17180	0	31	2	4	51659	115650	0	45	0.5501149668728311	1.0
	970505	972457		+	fadE10	Rv0873	-	2	2	1	24828	65568	15904	0	18	0	2	0	65568	0	16	0.47175321370814494	1.0
	973706	972546		-		Rv0874c	-	22	4	19	265474	118945	183617	5	163	10	4	186203	118945	2	131	0.5372507416181259	1.0
	974294	973806		-		Rv0875c	-	6	0	8	71664	19110	76223	4	113	1	0	28423	19110	1	48	0.6567969688968243	1.0
	975937	974291		-		Rv0876c	-	6	1	2	72145	49093	20957	0	28	3	1	64211	49093	0	34	0.5192925771804684	1.0
	976075	976863		+		Rv0877	-	7	0	2	86519	21746	24574	1	56	4	0	79771	21746	1	64	0.5114068274317247	1.0
	978203	976872		-	PPE13	Rv0878c	-	36	4	56	433562	126688	524521	10	271	11	4	209024	126688	2	126	0.7669449769208536	1.0
	978756	978481		-		Rv0879c	-	0	0	2	0	0	20691	1	24	0	0	4771	0	0	8	0.6610286002067153	1.0
	978934	979365		+		Rv0880	-	0	1	0	7840	35584	0	0	33	0	1	0	35584	0	41	0.5299473841674482	1.0
	979362	980228		+		Rv0881	-	3	1	1	44497	30148	13085	0	33	0	1	11825	30148	0	24	0.5764483609146508	1.0
	980225	980509		+		Rv0882	-	4	4	3	53713	115815	36382	6	240	3	4	68568	115815	6	323	0.5283798743484979	1.0
	981267	980506		-		Rv0883c	-	2	2	1	32462	54859	13351	1	44	0	2	17219	54859	0	47	0.49904403514902373	1.0
	982554	981424		-	serC	Rv0884c	-	0	2	8	3163	62108	77872	1	42	3	2	63692	62108	1	55	0.5351981237746145	1.0
	982762	983784		+		Rv0885	-	10	2	17	120976	67545	165425	4	115	9	2	168153	67545	2	115	0.4851611254782865	1.0
	983803	985530		+	fprB	Rv0886	-	5	0	6	65268	0	59468	0	24	0	0	1037	0	0	0	0.0	1.0
	985971	985513		-		Rv0887c	-	1	0	0	22558	21087	3085	0	33	5	0	109336	21087	3	142	0.10113204606960206	1.0
	987233	988705		+		Rv0888	-	43	9	42	509491	246457	394361	8	260	25	9	462136	246457	5	240	0.49714127378842654	1.0
	989861	988740		-	citA	Rv0889c	-	2	0	3	24209	19275	28031	0	21	1	0	29668	19275	0	21	0.49140048321989993	1.0
	992596	989948		-		Rv0890c	-	4	1	2	54470	26523	20744	0	12	4	1	86307	26523	0	21	0.5695902021337598	1.0
	993455	992598		-		Rv0891c	-	0	0	3	5295	0	37180	0	16	0	0	0	0	0	0	0.0	1.0
	993853	995340		+		Rv0892	-	1	0	5	20220	0	54680	0	16	3	0	57883	0	0	19	0.5145492531519629	1.0
	996295	995318		-		Rv0893c	-	0	0	7	1375	0	65744	1	22	2	0	41908	0	0	21	0.4746640244995556	1.0
	996524	997705		+		Rv0894	-	12	6	34	148143	157825	320797	6	176	4	6	91078	157825	2	105	0.5716917835571058	1.0
	997782	999299		+		Rv0895	-	3	0	10	40302	6425	102340	1	32	1	0	30082	6425	0	12	0.6775422143757891	1.0
	999472	1000767		+	gltA2	Rv0896	-	10	2	13	124209	70345	130106	2	83	4	2	77593	70345	1	57	0.577539179244761	1.0
	1002415	1000808		-		Rv0897c	-	14	5	17	175584	130971	163563	3	97	7	5	137136	130971	1	83	0.5328464830726971	1.0
	1002704	1002441		-		Rv0898c	-	0	0	0	687	11861	8457	0	26	0	0	0	11861	0	22	0.5313004407571444	1.0
	1002812	1003792		+	arfA	Rv0899	-	1	0	2	20426	0	18670	0	13	0	0	4460	0	0	2	0.010228752913141632	1.0
	1003805	1003957		+	arfB	Rv0900	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1003957	1004484		+	arfC	Rv0901	-	1	1	2	22352	47775	24787	1	59	1	1	19917	47775	1	64	0.49892136859743985	1.0
	1005841	1004501		-	prrB	Rv0902c	-	23	5	33	273246	132619	313723	6	178	13	5	242634	132619	3	139	0.5406287906583656	1.0
	1006562	1005852		-	prrA	Rv0903c	-	5	0	1	69394	0	11276	1	37	0	0	0	0	0	0	0.0	0.0
	1008180	1006693		-	accD3	Rv0904c	-	17	2	16	202269	64085	155531	3	94	3	2	62655	64085	0	42	0.6252692583850473	1.0
	1008207	1008938		+	echA6	Rv0905	-	1	2	0	21801	74794	0	0	43	0	2	5497	74794	0	54	0.5252198842706945	1.0
	1008944	1010062		+		Rv0906	-	6	0	0	77441	16474	0	0	27	0	0	0	16474	0	7	0.7769530804666902	1.0
	1010136	1011734		+		Rv0907	-	3	0	1	36519	0	10372	0	9	1	0	35580	0	0	11	0.5148946573647136	1.0
	1011731	1014124		+	ctpE	Rv0908	-	3	9	10	42022	253377	101542	1	55	5	9	102904	253377	1	74	0.520327013189677	1.0
	1014681	1014860		+		Rv0909	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1014866	1015300		+		Rv0910	-	0	0	1	9559	0	17234	0	20	0	0	0	0	0	0	0.0	1.0
	1015398	1016171		+		Rv0911	-	3	0	2	45735	2306	24095	1	31	3	0	57053	2306	0	38	0.5261166852702397	1.0
	1016236	1016685		+		Rv0912	-	5	1	7	63755	31301	65957	4	119	4	1	84958	31301	3	129	0.5019235278438994	1.0
	1018725	1017217		-		Rv0913c	-	4	0	4	55295	22075	38670	0	25	1	0	26141	22075	0	15	0.6008820527359815	1.0
	1019965	1018727		-		Rv0914c	-	0	0	2	0	6260	22127	0	7	0	0	12655	6260	0	7	0.49454381544989784	1.0
	1021329	1020058		-	PPE14	Rv0915c	-	0	3	1	0	94233	13510	0	28	0	3	12033	94233	0	41	0.5524287371150565	1.0
	1021643	1021344		-	PE7	Rv0916c	-	0	0	0	9903	0	0	0	11	0	0	1556	0	0	2	0.04239969713232515	1.0
	1022087	1023868		+	betP	Rv0917	-	2	0	3	34869	0	31648	0	12	1	0	32987	0	0	9	0.5703088716664911	1.0
	1024211	1024687		+		Rv0918	-	4	1	8	56464	37726	78776	4	120	0	1	16078	37726	1	56	0.6428199437669774	1.0
	1024684	1025184		+		Rv0919	-	31	6	48	375859	157990	451063	23	655	15	6	284543	157990	10	441	0.5489474517943228	1.0
1025393			1025321	-	argT	Rvnt14	-	0	0	0	0	0	7659	1	34	0	0	3215	0	0	22	0.5688842205058279	1.0
	1026816	1025497		-		Rv0920c	-	1	1	1	23246	37397	10531	0	17	0	1	0	37397	0	14	0.5585665411348543	1.0
	1027104	1027685		+		Rv0921	-	0	0	0	6740	0	3563	0	5	0	0	0	0	0	0	0.0	1.0
	1027685	1029337		+		Rv0922	-	1	0	2	20563	0	26436	0	9	0	0	17842	0	0	5	0.6161323106592679	1.0
	1030577	1029513		-		Rv0923c	-	51	12	86	608115	337397	801063	19	546	25	12	476556	337397	8	382	0.5246061332766483	1.0
	1031864	1030578		-	mntH	Rv0924c	-	2	0	3	34319	0	32712	0	17	2	0	39937	0	0	15	0.46528670324023363	1.0
	1032633	1031896		-		Rv0925c	-	0	1	0	10453	27677	0	0	17	0	1	0	27677	0	18	0.5084853754405236	1.0
	1033786	1032710		-		Rv0926c	-	4	0	0	47730	0	0	0	14	0	0	0	0	0	0	0.0	1.0
	1034631	1033840		-		Rv0927c	-	0	0	0	0	0	0	0	0	0	0	16804	0	0	10	0.0	1.0
	1034903	1036015		+	pstS3	Rv0928	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1036028	1037002		+	pstC2	Rv0929	-	2	0	5	24690	0	51489	1	26	0	0	0	0	0	0	0.0	1.0
	1036999	1037925		+	pstA1	Rv0930	-	125	18	211	1486107	491927	1970691	53	1419	60	18	1114419	491927	20	866	0.5488574886864139	1.0
	1039914	1037920		-	pknD	Rv0931c	-	7	3	15	82874	92421	146382	1	53	4	3	86099	92421	0	44	0.45304224498381784	1.0
1039686			1039755	+	-	predicted RNA	antisense: pknD	41	9	57	485969	247611	532765	212	6030	28	9	527074	247611	127	5533	0.4914561702430902	1.0
1039929			1040607	+	-	predicted RNA	antisense: pstS2	432	124	663	5120288	3264415	6178404	248	7149	304	124	5614626	3264415	148	6538	0.5092917728988083	1.0
	1041048	1039936		-	pstS2	Rv0932c	-	19	5	33	229779	134266	313085	7	202	14	5	259854	134266	4	177	0.5302635776609336	1.0
	1041264	1042094		+	pstB	Rv0933	-	0	0	3	8390	0	29627	0	15	1	0	25000	0	0	15	0.48849464564322465	1.0
	1042115	1043239		+	pstS1	Rv0934	-	0	0	3	11623	5271	28882	0	13	4	0	86721	5271	1	40	0.7658270636746787	1.0
	1043299	1044315		+	pstC1	Rv0935	-	6	6	18	71526	164250	173670	4	134	5	6	107365	164250	2	133	0.48823840230436444	1.0
	1044317	1045222		+	pstA2	Rv0936	-	10	5	10	127166	135090	96489	3	131	7	5	134958	135090	3	149	0.5025861250685755	1.0
	1046020	1045199		-	mku	Rv0937c	-	16	4	32	200343	108566	306595	9	249	9	4	179668	108566	3	175	0.5509471012027981	1.0
	1046136	1048415		+	ligD	Rv0938	-	2	1	0	31430	47116	7180	0	12	2	1	42427	47116	0	19	0.5639113224008706	1.0
	1048412	1050346		+		Rv0939	-	4	4	7	55502	104942	70159	1	39	2	4	47095	104942	0	39	0.47928938050516795	1.0
	1051459	1050593		-		Rv0940c	-	15	2	26	187001	54200	245425	7	187	4	2	85477	54200	1	80	0.6263605362338461	1.0
	1052317	1051544		-		Rv0941c	-	1	1	5	17675	31795	48191	1	42	2	1	47614	31795	1	51	0.5213026497493671	1.0
	1052360	1052638	1052638	+		Rv0942	-	20	8	19	242640	228006	183510	23	781	16	8	305082	228006	21	955	0.5078380779408197	1.0
	1053736	1052696		-		Rv0943c	-	3	0	2	46561	0	26329	0	23	1	0	29253	0	0	14	0.609483806569363	1.0
	1053765	1054241		+		Rv0944	-	0	0	0	618	0	0	0	0	0	0	7468	0	0	7	7.567786482700432E-32	1.0
	1054247	1055008		+		Rv0945	-	8	0	5	103438	10708	53351	2	73	2	0	49273	10708	0	39	0.6203712085461891	1.0
	1056685	1055024		-	pgi	Rv0946c	-	5	0	7	70357	16309	66648	1	30	1	0	32365	16309	0	14	0.6414222141138233	1.0
	1057963	1057646		-		Rv0948c	-	0	0	0	3782	0	0	0	3	0	0	0	0	0	0	3.3321494249484614E-33	1.0
	1058260	1060575		+	uvrD1	Rv0949	-	5	4	9	66093	110378	88297	1	38	4	4	73858	110378	0	39	0.4850638748281255	1.0
	1061654	1060656		-		Rv0950c	-	2	0	7	24759	0	67553	1	30	1	0	27697	0	0	13	0.6574922159624543	1.0
	1061964	1063127		+	sucC	Rv0951	-	0	0	7	9215	0	66170	0	21	6	0	117219	0	1	50	0.6160299361744175	1.0
	1063140	1064051		+	sucD	Rv0952	-	0	0	1	9903	0	12553	0	8	0	0	5601	0	0	3	0.6514526922431889	1.0
	1064962	1064114		-		Rv0953c	-	0	1	3	0	39044	33510	0	28	1	1	29979	39044	0	40	0.5514801605802561	1.0
	1065127	1066038		+		Rv0954	-	1	1	3	18569	36902	32606	0	32	2	1	47406	36902	1	46	0.5501353857637588	1.0
	1066078	1067445		+		Rv0955	-	6	2	3	76616	71169	34361	1	44	2	2	44709	71169	0	42	0.47879703608873686	1.0
	1067561	1068208		+	purN	Rv0956	-	2	2	5	32049	59472	53829	2	74	2	2	41182	59472	1	77	0.4949669336889414	1.0
	1068205	1069776		+	purH	Rv0957	-	4	0	4	58596	16474	46117	0	25	3	0	71576	16474	0	28	0.5022550886593854	1.0
	1069883	1071262		+		Rv0958	-	2	1	0	31499	49423	7446	0	21	1	1	21576	49423	0	25	0.5209715866625275	1.0
	1071255	1073273		+		Rv0959	-	8	1	5	105708	35420	50106	1	31	6	1	121576	35420	0	38	0.5193640185795676	1.0
	1073327	1073548		+	vapB9	Rv0959A	-	0	0	0	1856	0	7393	0	13	0	0	0	0	0	0	0.0	1.0
	1073545	1073928		+	vapC9	Rv0960	-	5	0	8	69876	0	77180	5	127	1	0	32261	0	1	42	0.6920647929943826	1.0
	1074074	1074421		+		Rv0961	-	1	1	3	21458	32619	32819	2	83	2	1	52904	32619	2	122	0.5543998628545295	1.0
	1075114	1074440		-	lprP	Rv0962c	-	20	0	30	244566	8072	284946	10	265	14	0	272199	8072	5	207	0.5417557632032617	1.0
	1076097	1075297		-		Rv0963c	-	0	0	7	3507	0	69202	1	30	0	0	13692	0	0	8	0.7131599636395282	1.0
	1076678	1076196		-		Rv0964c	-	1	2	1	18638	71993	11808	1	70	0	2	0	71993	1	74	0.49578676914167463	1.0
	1077197	1076778		-		Rv0965c	-	0	1	0	0	49093	0	0	38	1	1	26867	49093	1	90	0.6280476224490812	1.0
	1077835	1077233		-		Rv0966c	-	3	0	0	40371	26029	0	0	36	0	0	0	26029	0	21	0.6143364944049561	1.0
	1077975	1078334		+	csoR	Rv0967	-	0	0	1	0	0	17393	0	16	0	0	9232	0	0	12	0.540661077271704	1.0
1078139			1078036	-	-	predicted RNA	antisense: csoR	89	49	70	1057909	1302306	658882	274	9676	68	49	1272406	1302306	263	12378	0.5493995947097946	1.0
1078382			1078252	-	-	predicted RNA	antisense: csoR	108	44	61	1282806	1170016	572712	223	7698	54	44	1001763	1170016	173	8289	0.4788677177184216	1.0
	1078391	1078687		+		Rv0968	-	0	0	1	0	0	12553	0	14	1	0	33506	0	1	56	0.9833058159692797	1.0
1078545			1078519	-	-	predicted RNA	antisense: Rv0968	19	9	12	236107	242504	117287	210	7356	12	9	233195	242504	187	8809	0.5005145258033783	1.0
	1078743	1081055		+	ctpV	Rv0969	-	5	1	6	65337	40032	60372	0	23	4	1	85062	40032	0	27	0.5087514750145091	1.0
	1081052	1081684		+		Rv0970	-	13	0	18	162379	20593	176648	7	189	3	0	72095	20593	1	73	0.6490824437654509	1.0
	1082584	1081775		-	echA7	Rv0971c	-	24	2	7	295529	54200	73404	5	174	4	2	91182	54200	2	89	0.608784193162511	1.0
	1083750	1082584		-	fadE12	Rv0972c	-	1	0	4	12035	0	39042	0	14	0	0	11825	0	0	5	0.675930120048725	1.0
	1085750	1083747		-	accA2	Rv0973c	-	6	4	5	80605	118945	52074	1	41	4	4	76867	118945	0	48	0.5028076141880755	1.0
	1087345	1085756		-	accD2	Rv0974c	-	2	2	2	31224	74135	25957	0	27	2	2	52697	74135	0	39	0.5496582225939891	1.0
	1088496	1087348		-	fadE13	Rv0975c	-	1	2	0	17950	54530	7712	0	23	1	2	23340	54530	0	33	0.5539729630888359	1.0
	1090175	1088493		-		Rv0976c	-	0	2	0	0	52553	8776	0	12	0	2	0	52553	0	15	0.5345802682849982	1.0
	1090373	1093144		+	PE_PGRS16	Rv0977	-	6	3	10	79573	101317	100797	1	33	3	3	56639	101317	0	28	0.4516875093361625	1.0
	1094356	1093361		-	PE_PGRS17	Rv0978c	-	1	0	2	16987	0	27340	0	14	1	0	24896	0	0	12	0.4551661142358978	1.0
	1094864	1094670		-		Rv0979c	-	0	0	0	11004	4777	6489	1	38	0	0	7365	4777	0	31	0.5388556056316653	1.0
	1094886	1095059		+	rpmF	Rv0979A	-	0	0	1	0	16144	12606	1	55	0	0	17634	16144	2	97	0.602181376638375	1.0
1096451	1096451	1095078		-	PE_PGRS18	Rv0980c	-	59	11	94	705708	294892	878085	16	455	37	11	695020	294892	8	360	0.5216659202078605	1.0
	1096822	1097508		+	mprA	Rv0981	-	3	3	0	37964	96869	8617	1	69	0	3	0	96869	1	70	0.4904483337585681	1.0
	1097508	1099022		+	mprB	Rv0982	-	2	2	3	26203	56013	36755	0	26	1	2	35892	56013	0	30	0.5123189930938333	1.0
	1099066	1100460		+	pepD	Rv0983	-	2	5	5	27922	141680	46861	1	51	3	5	68775	141680	1	75	0.5369867406840513	1.0
	1100460	1101005		+	moaB2	Rv0984	-	0	0	1	2888	23228	13244	0	24	1	0	25311	23228	0	44	0.6045942687342869	1.0
1101480	1101480	1101025		-	mscL	Rv0985c	-	37	9	67	440990	248105	628936	34	963	35	9	658091	248105	23	993	0.4830040794180416	1.0
	1101803	1102549		+		Rv0986	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1102542	1105109		+		Rv0987	-	7	0	16	86038	24052	151223	1	33	4	0	77178	24052	0	19	0.6064939943339	1.0
	1105116	1106276		+		Rv0988	-	0	0	4	0	0	44095	0	12	0	0	0	0	0	0	0.0	1.0
	1107382	1106405		-	grcC2	Rv0989c	-	10	2	15	128198	65733	141914	4	114	8	2	154253	65733	2	112	0.4803989829101487	1.0
	1108099	1107443		-		Rv0990c	-	2	4	6	25447	128336	57819	2	107	4	4	77489	128336	3	156	0.5380746180645314	1.0
	1108504	1108172		-		Rv0991c	-	0	1	0	0	44316	7180	0	51	1	1	25518	44316	2	104	0.6119650184918074	1.0
	1109171	1108578		-		Rv0992c	-	1	2	3	23246	73311	31648	1	71	1	2	34647	73311	1	90	0.5280494105875934	1.0
	1109272	1110192		+	galU	Rv0993	-	2	0	0	30192	0	0	0	10	2	0	39315	0	0	21	0.6178309151254766	1.0
	1110269	1111549		+	moeA1	Rv0994	-	4	3	4	51169	92421	38882	1	47	0	3	12966	92421	0	41	0.46185690781815913	1.0
	1111612	1112223		+	rimJ	Rv0995	-	0	0	0	0	18780	2659	0	11	0	0	0	18780	0	15	0.552713146787015	1.0
	1112384	1113460		+		Rv0996	-	1	3	2	20357	97199	24680	1	44	0	3	10892	97199	0	50	0.5112053465424281	1.0
1113511			1113583	+	alaV	Rvnt15	-	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0.0	1.0
	1113861	1114112		+		Rv0997a	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1114293	1114724		+		Rv0997	-	0	0	3	0	0	28297	0	21	1	0	22095	0	0	25	0.5258048808286726	1.0
	1114748	1115749		+		Rv0998	-	13	1	6	156671	34596	56329	2	82	5	1	100207	34596	1	67	0.4464708745669777	1.0
	1115767	1116525		+		Rv0999	-	1	1	3	15955	30807	31861	1	34	1	1	29771	30807	0	39	0.5136906684377064	1.0
	1117148	1116531		-		Rv1000c	-	0	0	4	11691	0	45797	1	31	1	0	35269	0	0	28	0.4715870005954845	1.0
	1117185	1118393		+	arcA	Rv1001	-	2	0	2	33562	0	25744	0	16	1	0	22095	0	0	9	0.6226446061583414	1.0
	1119939	1118428		-		Rv1002c	-	13	0	10	161485	24382	100319	2	63	2	0	43983	24382	0	22	0.665435035206623	1.0
	1120022	1120879		+		Rv1003	-	2	1	1	33218	33772	17074	0	32	2	1	42323	33772	0	44	0.541970680802703	1.0
	1122148	1120889		-		Rv1004c	-	3	1	5	39270	41186	46914	1	33	0	1	12759	41186	0	21	0.5957096699642004	1.0
	1123598	1122222		-		Rv1005c	-	1	0	4	17056	0	38989	0	13	0	0	11410	0	0	4	0.6860365174066242	1.0
	1123714	1125417		+		Rv1006	-	27	6	36	327579	167710	337074	5	162	8	6	151452	167710	1	93	0.5622995039134837	1.0
	1127003	1125444		-	metS	Rv1007c	-	13	3	24	159353	83690	229946	3	101	11	3	207365	83690	2	93	0.4778615448142686	1.0
	1127089	1127883		+	tatD	Rv1008	-	0	0	3	9422	0	31170	0	17	2	0	53838	0	0	33	0.6142707563960543	1.0
	1128091	1129179		+	rpfB	Rv1009	-	2	1	2	30536	26688	19680	0	23	1	1	30497	26688	0	26	0.5073039679408949	1.0
	1129152	1130105		+	ksgA	Rv1010	-	1	0	0	18363	0	0	0	6	1	0	18672	0	0	9	0.5822756086425681	1.0
	1130191	1131111		+	ispE	Rv1011	-	1	0	2	22352	16309	22978	0	22	0	0	0	16309	0	8	0.6703504063194394	1.0
	1131128	1131421		+		Rv1012	-	0	1	2	0	30477	25159	1	63	0	1	6846	30477	1	63	0.48947825836063624	1.0
	1131625	1133259		+	pks16	Rv1013	-	12	1	13	144497	42998	130106	2	64	6	1	126452	42998	1	51	0.5528057713546284	1.0
	1133908	1133333		-	pth	Rv1014c	-	5	1	2	67125	37726	20478	2	72	1	1	36410	37726	1	64	0.4657375351796778	1.0
	1134568	1133921		-	rplY	Rv1015c	-	0	0	0	7152	23393	6542	0	19	2	0	48755	23393	1	55	0.6605581144561756	1.0
	1135465	1134785		-	lpqT	Rv1016c	-	11	3	21	133081	88303	199893	7	206	6	3	129045	88303	3	159	0.5475782410472363	1.0
	1136481	1135501		-	prsA	Rv1017c	-	2	1	1	27785	46293	14468	0	30	0	1	10580	46293	0	28	0.4792434253525892	1.0
	1138060	1136573		-	glmU	Rv1018c	-	27	5	23	323865	150411	214095	5	154	8	5	151141	150411	2	101	0.5535170774218291	1.0
1138147			1138076	-	glnT	Rvnt16	-	0	0	0	0	0	851	0	3	0	0	0	0	0	0	0.9975679289433443	1.0
	1138315	1138908		+		Rv1019	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1138967	1142671		+	mfd	Rv1020	-	6	15	1	77785	411861	16382	0	45	5	15	105394	411861	1	69	0.5252505175112088	1.0
	1142671	1143648		+		Rv1021	-	0	1	0	0	26688	904	0	9	0	1	0	26688	0	13	0.5671344619907916	1.0
	1143736	1144467		+	lpqU	Rv1022	-	1	0	0	15130	0	0	0	6	0	0	0	0	0	0	0.0	1.0
	1144564	1145853		+	eno	Rv1023	-	0	0	2	9009	23228	25531	0	14	0	0	2697	23228	0	10	0.5893237774997357	1.0
	1145858	1146544		+		Rv1024	-	1	3	0	22902	101812	0	1	60	0	3	17842	101812	1	87	0.5487959228662805	1.0
	1146561	1147028		+		Rv1025	-	1	0	1	16574	0	11276	0	19	0	0	0	0	0	0	0.0	1.0
	1147019	1147978		+		Rv1026	-	8	0	10	101513	21911	93989	2	75	0	0	15041	21911	0	19	0.8870679787944533	1.0
