Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_50 Replicate 1	Raw Counts Cond_50 Replicate 2	Raw Counts Cond_50 Replicate 3	Normalized Counts Cond_50 Replicate 1	Normalized Counts Cond_50 Replicate 2	Normalized Counts Cond_50 Replicate 3	RPKM Cond_50	Expression Cond_50	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_50 vs Cond_6	qValue Cond_50 vs Cond_6
	1167673	1168554		+		Rv1045	-	43	59	62	480769	589225	592323	27	628	17	1	317738	50247	5	208	0.11670250208540921	0.6328254636006824
1169103			1169197	+	-	predicted RNA	-	44	42	35	499627	419753	332018	187	4390	16	10	299585	286161	66	3082	0.5907618374250307	1.0
1169423	1169423	1170670		+		Rv1047	-	720	1395	702	8006079	13779405	6643638	327	7593	345	45	6373029	1190609	74	3030	0.6925461909989399	1.0
1170671			1170699	+	-	predicted RNA	-	11	23	12	130521	233894	117613	239	5540	6	0	114419	20922	57	2333	0.720536014044812	1.0
	1172153	1171038		-		Rv1048c	-	8	3	10	89826	38832	100000	2	68	2	3	37863	100000	1	61	0.9040128472546565	1.0
	1172386	1172832		+		Rv1049	-	0	0	0	0	0	7465	0	5	0	0	0	0	0	0	0.0	1.0
	1172881	1173786		+		Rv1050	-	0	2	1	10359	21380	9726	0	15	0	3	0	87314	0	48	0.11124631802746957	0.6146639996063218
	1174700	1173945		-		Rv1051c	-	0	1	0	7382	15375	8044	0	13	0	2	0	67545	0	44	0.18480184502744304	0.875890696982467
	1175723	1176112		+		Rv1052	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
1177396			1177469	+	leuX	Rvnt17	-	0	0	0	3722	8305	0	2	54	0	0	7676	0	1	51	0.5103587499646561	1.0
	1177628	1178392		+		Rv1056	-	4	4	7	47518	46071	67770	3	70	4	0	85788	0	1	56	0.38828955265083237	1.0
	1179396	1180577		+		Rv1057	-	0	0	0	0	0	0	0	0	2	1	41804	33443	0	31	1.0	1.0
	1180684	1182315		+	fadD14	Rv1058	-	1	0	0	21836	8866	0	0	6	2	2	37863	65403	0	31	0.009609352116237684	0.09513693407388259
	1182391	1183455		+		Rv1059	-	2	0	0	24875	6285	8307	0	12	1	0	20746	0	0	9	0.4204915967753431	1.0
	1183508	1183981		+		Rv1060	-	0	2	0	0	28619	5783	1	24	0	0	0	25370	0	26	0.48339608657403965	1.0
	1184015	1184878		+		Rv1061	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	1184883	1185740		+		Rv1062	-	0	4	4	4156	44276	45162	1	36	2	0	40145	21087	0	35	0.41884229960725766	1.0
	1186823	1185741		-		Rv1063c	-	9	11	8	101302	110101	75814	3	88	4	0	88174	0	1	40	0.3492685028520771	1.0
	1187323	1186904		-	lpqV	Rv1064c	-	0	1	0	9739	11223	9305	1	24	0	0	0	21252	0	25	0.48018052810822626	1.0
1187564			1187415	-	-	predicted RNA	antisense: Rv1065	73	101	62	811290	1005218	590588	229	5349	21	6	400518	164250	44	1882	0.13062326994285198	0.6936983364926216
	1187435	1188001		+		Rv1065	-	0	0	0	3846	0	0	0	2	0	1	0	43327	0	38	4.0945350949635834E-17	1.0478178699158269E-15
	1187998	1188393		+		Rv1066	-	0	0	0	5769	0	6992	0	10	1	0	28423	12850	1	52	0.05932635553332542	0.40948285775052373
	1190424	1188421		-	PE_PGRS19	Rv1067c	-	4	5	3	50558	49438	34647	0	22	1	0	24688	12191	0	9	0.7056486032690834	1.0
	1192148	1190757		-	PE_PGRS20	Rv1068c	-	0	0	0	0	0	8412	0	2	2	0	47302	0	0	16	5.759734210148643E-4	1.0
	1194273	1192510		-		Rv1069c	-	2	3	2	25248	33052	22923	0	15	0	3	0	98682	0	27	0.8096900843220485	1.0
	1195043	1194270		-	echA8	Rv1070c	-	2	1	0	27047	18574	1366	0	20	1	2	20124	64744	1	54	0.2679346532223786	1.0
	1196092	1195055		-	echA9	Rv1071c	-	3	1	10	41749	18125	98002	2	50	0	0	0	0	0	0	0.0	0.0
1197414			1196207	-	-	predicted RNA	antisense: Rv1073 Rv1072	1451	2013	2059	16121091	19888496	19489642	665	15314	1017	320	18783713	8400988	261	11251	0.41983194705307725	1.0
	1196279	1197115		+		Rv1072	-	0	0	1	4280	0	12039	0	6	0	0	0	2635	0	1	0.0866136017315893	1.0
	1197231	1198082		+		Rv1073	-	19	22	29	213027	223737	279179	12	280	5	3	107676	95387	2	119	0.7583043961452242	1.0
	1199373	1198156		-	fadA3	Rv1074c	-	8	9	8	91873	91806	79758	3	72	6	3	125414	102306	2	93	0.26706647836501896	1.0
	1200370	1199426		-		Rv1075c	-	0	0	0	0	0	9200	0	3	0	3	0	93904	0	49	2.4303929255408756E-13	5.717956689337028E-12
	1200767	1201660		+	lipU	Rv1076	-	3	1	1	40756	14590	12039	1	25	2	0	38278	0	0	21	0.41495339693951483	1.0
	1201717	1203111		+	cbs	Rv1077	-	2	2	5	28660	28114	55520	1	26	1	2	27904	57331	0	30	0.5219462713432858	1.0
	1203313	1204035		+		Rv1078	-	0	0	0	0	8754	9043	0	8	1	1	26659	27347	0	37	0.056714151595404994	0.40029214093789073
1204065			1203963	-	-	predicted RNA	antisense: Rv1078	47	34	48	527791	340067	460042	184	4297	29	19	552593	520593	112	5209	0.23326811405276793	1.0
	1204067	1205233		+	metB	Rv1079	-	16	37	21	181451	372390	198738	9	214	8	4	156950	108566	2	113	0.5553959724173699	1.0
	1205798	1205304		-	greA	Rv1080c	-	10	10	7	115322	102581	71661	8	194	1	2	22406	70675	1	94	0.40343804758206814	1.0
1205811			1205847	+	-	predicted RNA	-	15	21	17	177419	210157	167770	216	5003	12	8	234439	210708	130	6015	0.204497853950363	0.9350915453362472
	1206418	1205984		-		Rv1081c	-	0	0	0	5459	0	4153	0	7	0	0	3423	0	0	3	0.5985572536700917	1.0
	1206520	1207386		+	mca	Rv1082	-	1	0	3	19851	0	31650	0	19	0	1	0	29489	0	17	0.42559687848914307	1.0
	1207383	1207649		+		Rv1083	-	0	2	0	0	20538	5625	1	32	1	0	18464	0	0	34	0.486686984786161	1.0
	1207636	1209657		+		Rv1084	-	6	7	15	77481	73120	151104	2	49	1	3	36099	94069	0	32	0.7646112211377012	1.0
	1210484	1209756		-		Rv1085c	-	7	8	4	88771	80078	42429	4	96	2	1	54979	29654	1	58	0.3283451637727062	1.0
	1210595	1211383		+		Rv1086	-	0	0	0	9305	0	8832	0	7	0	0	0	0	0	0	0.0	1.0
	1211560	1213863		+	PE_PGRS21	Rv1087	-	1	0	0	14267	0	315	0	2	0	0	0	0	0	0	0.0	1.0
	1214513	1214947		+	PE9	Rv1088	-	0	0	0	8808	0	0	0	6	0	0	7468	0	0	8	0.5489380235659616	1.0
	1215225	1215407		+		Rv1088a	-	0	0	0	0	6565	5783	1	22	0	0	0	0	0	0	0.0	1.0
	1216469	1219030		+	PE_PGRS22	Rv1091	-	0	0	1	0	0	10935	0	1	0	0	0	0	0	0	0.0	1.0
	1220186	1219248		-	coaA	Rv1092c	-	11	14	6	122828	144668	63196	5	117	4	1	77074	33443	1	58	0.6156959605657931	1.0
1220487			1220388	-	MTS0858	RVnc0034	-	0	0	0	8002	0	0	1	26	0	0	0	7248	0	36	0.5622635930960691	1.0
	1220574	1221854		+	glyA1	Rv1093	-	3	2	2	37034	26879	24185	0	22	3	3	62863	92751	1	60	0.09002623960007025	0.5448891071782952
	1221959	1222786		+	desA2	Rv1094	-	0	0	2	0	0	20977	0	8	1	0	32676	8072	0	24	0.9442541926638758	1.0
	1222997	1224298		+	phoH2	Rv1095	-	5	5	1	60359	51234	13459	1	32	0	2	0	60296	0	23	0.36487174051689414	1.0
	1224385	1225260		+		Rv1096	-	23	25	22	260794	247699	212092	11	274	8	2	164522	55518	2	125	0.9436597201854781	1.0
	1226144	1225263		-		Rv1097c	-	17	26	25	198697	266161	237854	11	265	8	5	165975	141021	3	174	0.47289231529239123	1.0
	1227565	1226141		-	fum	Rv1098c	-	6	7	3	71712	76150	35226	1	42	2	2	47925	62767	0	38	0.6501328908774693	1.0
	1228684	1227596		-	glpX	Rv1099c	-	0	1	0	0	12738	6782	0	5	0	0	0	22405	0	10	0.5756496782336814	1.0
	1228683	1229384		+		Rv1100	-	2	1	4	27233	18462	47055	1	44	0	2	13900	73146	1	61	0.7098658381250745	1.0
	1230548	1229391		-		Rv1101c	-	12	8	13	138833	83670	123659	4	99	10	4	193464	122240	3	136	0.20155359263712197	0.9254968744806357
	1230971	1230660		-	mazF3	Rv1102c	-	5	11	6	56079	111335	58201	10	241	5	1	102282	47446	5	239	0.9317114106686495	1.0
	1231291	1230971		-	mazE3	Rv1103c	-	5	3	3	55893	37991	29810	5	128	2	1	50311	36243	2	134	0.48753952454560706	1.0
	1233956	1232844		-		Rv1106c	-	4	7	9	46712	72558	92639	2	63	3	2	56224	70345	1	56	0.8019911385386265	1.0
	1234223	1233966		-	xseB	Rv1107c	-	0	0	0	7133	4152	0	0	14	0	0	0	0	0	0	0.0	1.0
	1235460	1234213		-	xseA	Rv1108c	-	0	0	1	10111	4320	10199	0	6	0	2	17323	54200	0	28	0.04767212504433563	0.3517929497369523
	1236095	1235457		-		Rv1109c	-	0	1	0	0	13804	0	0	7	0	0	0	0	0	0	0.0	1.0
	1236185	1237192		+	lytB2	Rv1110	-	10	16	14	120595	160044	140956	6	139	7	0	143983	25864	2	84	0.9092622205866815	1.0
	1238192	1237209		-		Rv1111c	-	17	9	13	198387	91077	128233	6	141	7	2	143257	67710	2	107	0.7008407311384341	1.0
	1238255	1239328		+		Rv1112	-	1	2	1	19913	24298	13301	0	17	2	0	38381	19934	0	27	0.5090253490646764	1.0
	1239416	1239613		+	vapB32	Rv1113	-	0	0	0	7196	0	0	0	12	0	1	0	45304	1	114	8.597691349849338E-5	0.0012625334680181443
	1239610	1239984		+	vapC32	Rv1114	-	0	0	0	3411	9483	4731	0	15	0	1	13900	47116	1	81	0.02358465059037391	0.20001246314627177
	1240187	1240885		+		Rv1115	-	1	0	0	18982	0	0	0	9	1	1	22095	30477	0	37	0.08443646382311149	0.5228489707281793
1241003	1241003	1241188		+		Rv1116	-	8	4	6	99069	48597	64248	16	379	2	0	41286	22405	3	171	0.29095613006159365	1.0
	1241633	1241956		+		Rv1117	-	4	0	6	45595	4657	60042	4	113	1	0	29875	0	1	46	0.7029712632594461	1.0
	1242831	1241971		-		Rv1118c	-	10	26	14	112717	259708	134332	8	196	13	1	250207	40691	4	168	0.38794212782789367	1.0
	1243013	1242864		-		Rv1119c	-	1	1	2	19789	19023	21135	5	133	2	0	45124	20593	5	219	0.6092545348640875	1.0
	1243504	1243010		-		Rv1120c	-	3	5	1	43238	50448	12460	3	71	2	0	45954	2306	1	48	0.3637579101048607	1.0
	1243707	1245107		+	zwf1	Rv1121	-	0	1	0	0	15768	6677	0	5	0	1	0	49093	0	17	0.5781810314919906	1.0
	1245129	1246151		+	gnd2	Rv1122	-	2	5	2	22270	54377	21293	1	31	1	0	30809	24382	0	26	0.39703399129254274	1.0
	1247052	1246144		-	bpoB	Rv1123c	-	14	21	31	162655	213973	295636	10	246	3	4	69917	122899	2	106	0.8319693586889267	1.0
	1247127	1248077		+	ephC	Rv1124	-	0	1	1	7320	9932	16982	0	11	0	2	0	73970	0	38	0.12725792939127623	0.6807832506310816
	1248082	1249326		+		Rv1125	-	10	10	15	115508	104601	147055	4	98	4	3	81950	95387	1	71	0.9159369025028635	1.0
	1249935	1249330		-		Rv1126c	-	5	5	7	60856	52637	72765	4	102	0	0	15352	20593	0	29	0.7499509174396375	1.0
	1251404	1249932		-	ppdK	Rv1127c	-	0	1	0	0	10493	0	0	2	1	2	31016	76771	0	36	1.9767366816651438E-14	4.805666510537038E-13
	1252972	1251617		-		Rv1128c	-	1	1	0	20223	17059	8412	0	11	1	0	20850	10543	0	11	0.4594945598921151	1.0
	1254534	1253074		-		Rv1129c	-	1	2	1	11166	21268	11461	0	10	0	2	0	56672	0	19	0.6636904274287244	1.0
	1254555	1256135		+	prpD	Rv1130	-	0	2	0	7940	28451	0	0	7	1	1	19087	33607	0	16	0.7291958520066036	1.0
	1256132	1257313		+	prpC	Rv1131	-	6	11	14	73076	114927	141219	4	92	5	4	92531	120098	1	89	0.5430913045357212	1.0
1257325	1257325	1259055		+		Rv1132	-	124	164	190	1384863	1627665	1801787	40	927	54	23	1008402	619110	10	470	0.5796231664863216	1.0
	1261346	1259067		-	metE	Rv1133c	-	5	3	3	65198	33894	35909	0	19	1	7	19917	203789	0	49	0.06212490447935811	0.42205680600125944
1259671			1259760	+	-	predicted RNA	antisense: metE	40	46	50	445781	460269	473449	221	5109	19	10	359128	266227	76	3474	0.5283274800831587	1.0
1261460			1261688	+	-	predicted RNA	-	165	166	220	1841066	1642368	2087539	351	8109	92	35	1703008	929324	130	5747	0.9571585650673302	1.0
	1261922	1262158		+		Rv1134	-	0	0	0	3598	0	0	0	5	0	0	0	4942	0	10	0.628620072796969	1.0
	1264128	1262272		-	PPE16	Rv1135c	-	3	3	0	39826	34792	3995	0	14	0	0	0	8072	0	2	0.008946426174845257	1.0
	1265034	1265438		+		Rv1138a	-	4	1	4	45223	17340	41430	3	85	1	0	24688	4612	0	36	0.6973285607550266	1.0
	1266488	1265472		-		Rv1138c	-	1	6	3	20595	66722	28706	1	38	0	2	0	77759	0	38	0.42363451529628415	1.0
	1266985	1266485		-		Rv1139c	-	0	1	1	10669	10044	15720	1	24	1	0	23858	0	0	23	0.46099270047982044	1.0
	1267347	1268195		+		Rv1140	-	8	5	7	94106	58641	73396	3	88	11	2	213485	74958	4	169	0.0963159621606727	0.5666374301786259
	1269009	1268203		-	echA11	Rv1141c	-	9	7	15	106637	75645	142323	5	134	2	3	37344	89785	1	78	0.7307211051213343	1.0
	1269958	1269152		-	echA10	Rv1142c	-	2	6	1	33064	60942	16719	1	45	1	1	36307	28171	0	39	0.3946376040009261	1.0
	1270062	1271144		+	mcr	Rv1143	-	8	14	6	93734	144781	65772	4	93	3	1	55705	41515	0	44	0.47057612631744505	1.0
1271156	1271156	1271908		+		Rv1144	-	114	100	142	1269851	990740	1349579	69	1598	35	10	661410	271169	14	619	0.3839397636928316	1.0
1271945			1272153	+	-	predicted RNA	-	521	632	744	5789205	6242592	7043585	1322	30423	248	77	4587551	2023558	367	15816	0.34100772659610845	1.0
	1272423	1273334		+		Rv1145	-	1	0	1	13337	9371	14879	0	13	0	0	0	0	0	0	0.0	1.0
	1273355	1274767		+		Rv1146	-	11	9	11	124813	95454	109568	3	77	6	2	119917	67874	1	66	0.7589858380344287	1.0
	1274900	1275550		+		Rv1147	-	11	12	20	127605	126374	191009	9	227	6	3	128734	96540	3	173	0.6178951432934585	1.0
	1277748	1276300		-		Rv1148c	-	14	18	15	161290	180134	149684	4	112	12	3	232053	95057	2	112	0.31881900707181016	1.0
	1277893	1278300		+		Rv1149	-	0	0	0	0	0	8569	0	7	0	2	0	63261	1	77	1.2338573785726725E-6	2.221958801907002E-5
1278156			1278129	-	-	predicted RNA	antisense: Rv1149	12	12	16	133933	125533	153680	213	4918	6	3	115871	83525	78	3560	0.7741207837009321	1.0
	1279617	1278904		-		Rv1151c	-	0	0	2	7940	6285	26235	0	18	1	3	32676	90280	1	86	0.011184897793583146	0.1078086183804402
	1279655	1280020		+		Rv1152	-	6	3	1	77109	36419	11619	4	113	0	1	8817	41350	1	68	0.3410331793419707	1.0
	1280846	1279998		-	omt	Rv1153c	-	16	22	22	179156	223344	213512	10	241	13	11	250622	301647	6	325	0.1389670323011161	0.7210508086059574
	1281484	1280843		-		Rv1154c	-	6	4	8	73263	46520	79547	4	103	2	1	52282	28171	1	62	0.32201248873629956	1.0
	1281429	1281872		+		Rv1155	-	0	0	0	0	0	0	0	0	0	1	0	28830	0	32	0.0	0.0
	1282030	1282218		+		Rv1155a	-	0	0	0	0	0	5152	0	9	0	0	0	6754	0	17	0.6237189635625977	1.0
	1282306	1282893		+		Rv1156	-	1	1	1	15756	13019	17875	1	26	3	0	60373	19769	1	68	0.43605060872143414	1.0
1284171	1284171	1283056		-		Rv1157c	-	61	83	76	677667	825252	720031	28	663	30	16	559128	421087	9	439	0.7522033827019521	1.0
1283693			1283815	+	mcr10	RVnc0012	-	2	4	1	32009	42985	11303	9	233	1	4	28008	109225	10	557	0.14182302471429056	0.7267184498240462
	1284862	1284179		-		Rv1158c	-	0	4	2	5459	42929	20715	1	33	0	1	13692	49752	0	46	0.4872521513360216	1.0
	1284992	1286287		+	pimE	Rv1159	-	31	30	39	351674	303254	370820	11	263	30	22	554979	586490	9	440	0.08921426955426257	0.5422245049575736
	1286568	1286284		-		Rv1159A	-	5	3	2	65012	37093	23133	6	146	5	1	106327	36573	5	250	0.43369034815537977	1.0
	1286595	1287020		+	mutT2	Rv1160	-	0	0	0	0	7351	5993	0	10	0	1	16597	28500	1	52	0.042974668243680875	0.32638815642385305
	1287328	1291026		+	narG	Rv1161	-	28	35	34	315322	353198	323869	3	89	10	11	193983	292915	1	65	0.564073022231742	1.0
1287735			1287603	-	-	predicted RNA	antisense: narG	58	68	87	650496	680078	830389	235	5415	37	16	684439	419110	93	4148	0.6252547354745729	1.0
1288820			1288471	-	-	predicted RNA	antisense: narG	237	242	292	2639143	2395847	2772187	321	7435	132	48	2444087	1279406	121	5319	0.3558062994566369	1.0
1290115			1289560	-	-	predicted RNA	antisense: narG	291	330	397	3241625	3265432	3763669	267	6157	149	86	2759854	2271663	98	4524	0.3438505610112031	1.0
1291065	1291065	1292741	1292741	+	narH	Rv1162	-	148	174	114	1653535	1719809	1079284	37	885	67	31	1237240	812850	13	611	0.6655847447430189	1.0
1291709			1291500	-	-	predicted RNA	antisense: narH	99	84	104	1100620	830359	985856	199	4629	38	17	716908	451729	62	2782	0.977999171475836	1.0
1292503			1292350	-	-	predicted RNA	antisense: narH	57	49	49	635856	490179	469137	148	3452	24	8	455912	231630	51	2232	0.5174212318902606	1.0
	1292798	1293403		+	narJ	Rv1163	-	0	0	2	8002	0	20977	0	15	0	0	0	0	0	0	0.0	1.0
	1293406	1294146		+	narI	Rv1164	-	0	0	3	0	0	35015	0	15	0	0	0	0	0	0	0.0	1.0
	1294168	1296054		+	typA	Rv1165	-	3	1	3	35359	14758	37434	0	15	0	0	0	17298	0	4	0.7230321594465036	1.0
	1296152	1298059		+	lpqW	Rv1166	-	13	2	13	150124	21492	131388	2	52	2	2	47925	52718	0	26	0.5027955427181323	1.0
	1298692	1298087		-		Rv1167c	-	3	10	6	43114	104208	62670	5	115	3	3	56431	80395	2	112	0.9435892929858336	1.0
	1299804	1298764		-	PPE17	Rv1168c	-	1	1	1	16066	14253	12250	0	13	0	0	12240	17792	0	14	0.4672631450566403	1.0
	1300124	1299822		-	lipX	Rv1169c	-	2	3	6	31637	31649	57202	5	132	0	0	8195	21581	0	49	0.7142896347284965	1.0
	1300304	1301215		+	mshB	Rv1170	-	7	7	5	80024	74971	54837	3	76	3	1	60373	27347	1	48	0.34465177277381304	1.0
	1301307	1301747		+		Rv1171	-	24	20	25	266873	203928	238012	23	535	7	5	139004	141515	6	318	0.510208877574328	1.0
	1302681	1301755		-	PE12	Rv1172c	-	12	29	9	140756	292704	89169	8	187	6	0	127489	658	1	69	0.5703694040473947	1.0
1302931	1302931	1305501		+	fbiC	Rv1173	-	138	182	148	1537593	1807070	1404311	26	615	43	14	794917	371499	5	226	0.4574032643028831	1.0
	1306001	1305669		-	TB8.4	Rv1174c	-	2	1	3	22952	13636	33438	3	70	0	0	18049	2141	0	30	0.6850968876291319	1.0
1305755			1306048	+	-	predicted RNA	antisense: TB8.4	178	279	253	1983498	2756060	2400000	352	8094	99	35	1837344	919934	107	4689	0.3354642229790336	1.0
	1308226	1306202		-	fadH	Rv1175c	-	18	28	41	210483	284511	392166	6	146	14	6	269917	175947	2	110	0.44505731250319547	1.0
	1308792	1308223		-		Rv1176c	-	0	1	0	0	16891	3312	0	11	0	0	0	21252	0	18	0.5614216290592012	1.0
1309392			1308937	-	-	predicted RNA	antisense: fdxC Rv1178	263	406	312	2930459	4010437	2955888	313	7234	158	58	2934543	1532948	112	4898	0.3369162032773383	1.0
	1309005	1309331		+	fdxC	Rv1177	-	0	1	2	1923	11054	21398	1	35	0	0	0	0	0	0	0.0	0.0
	1309364	1310452		+		Rv1178	-	1	1	1	21401	15432	12986	0	15	1	0	29668	7742	0	17	0.46994965133150896	1.0
1313299	1313299	1310480		-		Rv1179c	-	104	172	104	1159801	1702749	991114	19	455	45	22	839522	577100	5	251	0.621425616398007	1.0
	1313725	1315191		+	pks3	Rv1180	-	0	0	0	8436	0	0	0	1	0	2	16908	53377	0	23	2.1547244266332983E-8	4.247330671597889E-7
	1315234	1319982		+	pks4	Rv1181	-	2	5	4	31327	53535	42323	0	8	5	6	104253	166886	0	28	0.01278724267836862	0.12032243261962074
1316473			1316381	-	-	predicted RNA	antisense: pks4	43	37	44	477791	374354	421713	196	4565	21	6	397199	182372	72	3115	0.5801445370072831	1.0
	1320035	1321453		+	papA3	Rv1182	-	37	25	38	411104	255050	362670	10	241	20	3	372717	95057	3	164	0.6177188254968887	1.0
	1321520	1324528		+	mmpL10	Rv1183	-	83	123	72	928598	1216947	689169	13	314	21	7	403112	189950	2	98	0.08153397146774093	0.5104329887594196
1322017			1321727	-	-	predicted RNA	antisense: mmpL10	170	117	131	1897580	1157070	1249053	210	4929	55	31	1017946	830971	69	3176	0.6516455891439242	1.0
1322267			1322240	-	-	predicted RNA	antisense: mmpL10	11	10	10	130583	106734	99158	171	4005	4	0	79668	21911	43	1813	0.5555109488794095	1.0
1323897			1323670	-	-	predicted RNA	antisense: mmpL10	101	85	101	1131761	845903	961461	184	4296	50	10	935684	262438	63	2627	0.9682225656003967	1.0
1325611	1325611	1324532		-		Rv1184c	-	45	46	46	508933	457519	437697	18	433	33	11	609751	308566	9	425	0.34211500353905894	1.0
1324553			1324811	+	-	predicted RNA	antisense: Rv1184c	158	146	184	1762903	1449494	1750420	276	6387	50	16	937863	425700	61	2632	0.718513924565362	1.0
1325277			1325585	+	-	predicted RNA	antisense: Rv1184c	155	172	165	1726612	1703423	1567034	232	5390	52	26	965767	685667	59	2672	0.5899187562486803	1.0
1327512	1327512	1325776	1325776	-	fadD21	Rv1185c	-	144	145	164	1606575	1436307	1552839	38	881	34	13	633609	353542	6	284	0.20308652127396984	0.9296094321076277
1326180			1326471	+	-	predicted RNA	antisense: fadD21	137	142	138	1523945	1411672	1310988	208	4847	69	26	1278941	697364	77	3384	0.6640633315202187	1.0
1327298			1327438	+	-	predicted RNA	antisense: fadD21	69	103	77	770099	1023849	730862	258	5968	41	12	765352	324382	90	3864	0.9740103466521929	1.0
	1329305	1327689		-		Rv1186c	-	22	12	17	249317	128114	164826	4	111	6	3	111618	90280	1	62	0.5588048126714015	1.0
	1329390	1331021		+	rocA	Rv1187	-	0	0	0	0	0	0	0	0	0	0	0	20098	0	6	0.0	1.0
	1331021	1332010		+		Rv1188	-	0	0	0	0	0	9043	0	3	1	0	18464	0	0	9	0.672660362147147	1.0
	1332092	1332964		+	sigI	Rv1189	-	0	0	1	0	0	10883	0	4	3	0	64522	0	0	36	7.236302180243846E-5	0.0010661972505302045
	1332980	1333858		+		Rv1190	-	3	1	1	43052	13299	16614	1	27	0	0	0	0	0	0	0.0	0.0
	1333931	1334845		+		Rv1191	-	3	2	5	42307	24298	47581	1	41	0	5	0	142174	1	77	0.3153353039085553	1.0
	1334927	1335754		+		Rv1192	-	1	0	0	19789	0	0	0	7	0	0	11618	14332	0	15	0.5938164339377294	1.0
	1335794	1337215		+	fadD36	Rv1193	-	4	8	3	49193	83950	35541	1	39	3	2	64315	68369	0	46	0.9549266693819655	1.0
	1338513	1337248		-		Rv1194c	-	13	21	14	155148	208754	136750	5	131	7	2	141286	60790	1	79	0.6224991317290028	1.0
1339801			1338908	-	-	predicted RNA	antisense: PPE18 PE13	947	1548	926	10520347	15290909	8766035	556	12892	442	152	8164522	3998352	156	6802	0.6410358861113147	1.0
	1339003	1339302		+	PE13	Rv1195	-	0	0	0	0	7800	0	0	8	0	1	0	34761	0	57	0.01108544758513038	0.10708591309609392
	1339349	1340524		+	PPE18	Rv1196	-	6	1	0	69292	13019	8885	1	25	3	0	59336	22240	0	34	0.6018589797001296	1.0
1341357			1339921	-	-	predicted RNA	antisense: PPE18 esxL esxK	2121	3728	2123	23560794	36823288	20100893	806	18669	1113	316	20554460	8279242	235	10032	0.34303668041508456	1.0
	1340659	1340955		+	esxK	Rv1197	-	0	1	2	0	11728	20452	1	36	0	0	0	13673	0	23	0.6057654224268706	1.0
	1341006	1341290		+	esxL	Rv1198	-	1	1	0	13337	14141	6361	1	39	0	0	8091	6260	0	25	0.6083876806708093	1.0
1342605	1342605	1341358		-		Rv1199c	-	934	1737	869	10376612	17155948	8227865	411	9551	400	50	7401763	1317462	86	3493	0.7053012528899845	1.0
	1342942	1344219		+		Rv1200	-	12	19	12	143238	195903	117245	5	119	6	3	114834	90939	1	80	0.6979508257031584	1.0
	1345169	1344216		-	dapD	Rv1201c	-	15	10	18	174441	107912	176025	6	160	2	4	47614	105107	1	80	0.7680318094391853	1.0
	1345260	1346324		+	dapE	Rv1202	-	0	0	0	5893	8305	2155	0	5	3	1	60892	39044	1	46	5.314300292449468E-6	9.013712434015066E-5
	1346905	1346321		-		Rv1203c	-	5	3	6	58374	38103	64458	3	91	2	0	53112	19769	1	62	0.34359293823638876	1.0
	1348624	1346936		-		Rv1204c	-	1	1	3	15260	13131	35488	0	12	1	4	36099	108237	0	42	0.039901222138381105	0.3094849065206236
	1348719	1349282		+		Rv1205	-	1	0	2	18920	5667	20347	1	26	0	0	11721	0	0	10	0.676646032947216	1.0
	1349332	1351125		+	fadD6	Rv1206	-	0	2	0	0	27553	7465	0	6	0	1	17842	28006	0	12	0.565491505879473	1.0
	1351191	1352147		+	folP2	Rv1207	-	2	1	2	22270	14309	19873	0	19	0	0	3423	0	0	1	1.8127667736827785E-8	1.0
	1352144	1353118		+	gpgS	Rv1208	-	0	0	0	5334	4489	7465	0	5	2	2	43879	59802	1	53	6.516634394397879E-6	1.0761053626371743E-4
	1353157	1353525		+		Rv1209	-	0	0	0	0	0	0	0	0	0	1	0	47281	1	64	0.0	0.0
	1353522	1354136		+	tagA	Rv1210	-	0	1	1	0	15319	12881	0	15	1	3	33506	85667	1	96	8.472462581673305E-4	0.011100447981258197
	1354243	1354470		+		Rv1211	-	0	0	0	6699	0	2103	0	12	1	0	31639	0	1	69	0.05069383378103246	0.36911184130748426
1354349			1354282	-	-	predicted RNA	antisense: Rv1211	28	40	37	311290	395959	359095	227	5227	23	19	429875	501482	143	6848	0.20710889483464623	0.9399359766805347
1355661	1355661	1354498		-	glgA	Rv1212c	-	97	113	123	1081513	1124242	1165089	41	965	53	14	987240	367215	13	581	0.8566824088471426	1.0
	1355836	1357050		+	glgC	Rv1213	-	4	5	9	54156	49943	91535	2	53	2	0	53526	0	0	22	0.28440137068684085	1.0
	1357625	1357293		-	PE14	Rv1214c	-	1	3	2	13089	31088	20767	2	65	1	0	29149	0	1	43	0.3795652489131291	1.0
	1359444	1357759	1357759	-		Rv1215c	-	70	56	70	783436	554489	665194	17	396	31	10	583195	266721	5	252	0.5435937499789957	1.0
	1360146	1359472		-		Rv1216c	-	20	22	25	230831	223737	241430	14	343	3	0	73029	7578	1	59	0.008050985895899117	0.0817427245486184
	1361801	1360155		-		Rv1217c	-	0	3	1	5272	38327	17350	0	12	1	1	20124	33937	0	16	0.481950216279585	1.0
